City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,susuman,62.7833,148.1667,273.96,55,51,7.84,RU,1727134932
1,el calafate,-50.3408,-72.2768,274.74,79,66,6.68,AR,1727134685
2,blackmans bay,-43.0167,147.3167,283.0,62,82,1.34,AU,1727134935
3,port lincoln,-34.7333,135.8667,287.98,73,100,2.52,AU,1727134936
4,saint-pierre,-21.3393,55.4781,292.97,73,0,1.54,RE,1727134937
5,port saint john's,-31.6229,29.5448,290.02,70,12,1.94,ZA,1727134938
6,college,64.8569,-147.8028,284.14,50,75,5.66,US,1727134942
7,papatowai,-46.5619,169.4708,280.16,74,97,10.0,NZ,1727134943
8,choibalsan,48.0667,114.5,285.73,43,100,0.98,MN,1727134944
9,thompson,55.7435,-97.8558,286.24,82,75,2.06,CA,1727134945
10,mundri,-6.9558,111.71,300.87,70,86,4.51,ID,1727134946
11,wenchang,30.904,118.4887,293.15,76,52,2.15,CN,1727134947
12,tanjung selor,2.8372,117.3642,300.93,79,41,0.44,ID,1727134948
13,puerto ayora,-0.7393,-90.3518,292.9,96,51,1.79,EC,1727134949
14,tekkali,18.6167,84.2333,299.25,87,100,0.99,IN,1727134950
15,pailon,-17.65,-62.75,304.27,23,1,2.75,BO,1727134952
16,margaret river,-33.95,115.0667,285.91,66,93,4.23,AU,1727134953
17,ngaoundere,7.3167,13.5833,291.72,95,100,0.98,CM,1727134954
18,bethel,41.3712,-73.414,289.78,87,100,0.0,US,1727134946
19,tidjikja,18.5564,-11.4271,303.31,51,27,0.7,MR,1727134956
20,waitangi,-43.9535,-176.5597,284.37,87,54,6.65,NZ,1727134957
21,tiksi,71.6872,128.8694,267.77,87,56,2.36,RU,1727134958
22,ca mau,9.1769,105.15,298.38,90,100,0.36,VN,1727134959
23,sao felix do xingu,-6.6447,-51.995,299.51,61,71,0.68,BR,1727134960
24,lesneven,48.5723,-4.3213,287.71,100,100,4.63,FR,1727134827
25,mangai,-4.05,19.5333,295.15,89,85,0.53,CD,1727134963
26,aasiaat,68.7098,-52.8699,276.08,78,31,2.58,GL,1727134964
27,saudarkrokur,65.7461,-19.6394,276.23,61,26,1.03,IS,1727134965
28,gadzhiyevo,69.2551,33.3362,278.09,90,100,4.54,RU,1727134966
29,yellowknife,62.456,-114.3525,285.6,57,75,7.2,CA,1727134734
30,ilulissat,69.2167,-51.1,276.16,75,47,0.51,GL,1727134968
31,jamestown,42.097,-79.2353,292.95,100,100,1.54,US,1727134969
32,edinburgh of the seven seas,-37.0676,-12.3116,285.72,79,3,6.89,SH,1727134971
33,graham,47.0529,-122.2943,297.42,67,0,2.06,US,1727134972
34,west island,-12.1568,96.8225,298.14,94,91,2.57,CC,1727134974
35,port-aux-francais,-49.35,70.2167,273.74,62,96,11.44,TF,1727134975
